cell_id,sample_id,true_cluster,utag_cluster_02,utag_cluster_03,utag_cluster_04,utag_cluster_05,x_coord,y_coord
pix_1,sim_8,1,1,4,1,2,1,1
pix_2,sim_8,1,1,4,1,2,2,1
pix_3,sim_8,1,1,4,1,2,3,1
pix_4,sim_8,7,2,2,3,6,4,1
pix_5,sim_8,1,2,2,3,6,5,1
pix_6,sim_8,1,2,2,3,6,6,1
pix_7,sim_8,1,2,2,3,6,7,1
pix_8,sim_8,1,2,2,3,6,8,1
pix_9,sim_8,1,2,2,3,4,9,1
pix_10,sim_8,1,2,2,3,4,10,1
pix_11,sim_8,1,2,2,3,4,11,1
pix_12,sim_8,9,2,2,3,4,12,1
pix_13,sim_8,1,2,2,3,4,13,1
pix_14,sim_8,1,2,2,3,4,14,1
pix_15,sim_8,7,2,2,3,4,15,1
pix_16,sim_8,1,2,2,3,4,16,1
pix_17,sim_8,1,2,2,3,6,17,1
pix_18,sim_8,1,2,5,4,6,18,1
pix_19,sim_8,1,2,5,4,6,19,1
pix_20,sim_8,1,2,5,4,6,20,1
pix_21,sim_8,1,1,4,1,2,1,2
pix_22,sim_8,1,1,4,1,2,2,2
pix_23,sim_8,1,1,4,1,2,3,2
pix_24,sim_8,1,1,4,1,2,4,2
pix_25,sim_8,1,2,2,3,6,5,2
pix_26,sim_8,1,2,2,3,6,6,2
pix_27,sim_8,1,2,2,3,6,7,2
pix_28,sim_8,7,2,2,3,6,8,2
pix_29,sim_8,1,2,2,3,4,9,2
pix_30,sim_8,1,2,2,3,4,10,2
pix_31,sim_8,1,2,2,3,4,11,2
pix_32,sim_8,1,2,2,3,4,12,2
pix_33,sim_8,7,2,2,3,4,13,2
pix_34,sim_8,1,2,2,3,4,14,2
pix_35,sim_8,9,2,2,3,4,15,2
pix_36,sim_8,1,2,2,3,4,16,2
pix_37,sim_8,1,2,2,3,6,17,2
pix_38,sim_8,1,2,5,4,6,18,2
pix_39,sim_8,7,2,5,4,6,19,2
pix_40,sim_8,1,2,5,4,6,20,2
pix_41,sim_8,1,1,4,1,2,1,3
pix_42,sim_8,1,1,4,1,2,2,3
pix_43,sim_8,1,1,4,1,2,3,3
pix_44,sim_8,1,1,4,1,2,4,3
pix_45,sim_8,1,2,2,3,6,5,3
pix_46,sim_8,1,2,2,3,6,6,3
pix_47,sim_8,7,2,2,3,6,7,3
pix_48,sim_8,1,2,2,3,6,8,3
pix_49,sim_8,1,2,2,3,4,9,3
pix_50,sim_8,1,2,2,3,4,10,3
pix_51,sim_8,1,2,2,3,4,11,3
pix_52,sim_8,7,2,2,3,4,12,3
pix_53,sim_8,9,2,2,3,4,13,3
pix_54,sim_8,1,2,2,3,4,14,3
pix_55,sim_8,1,2,2,3,4,15,3
pix_56,sim_8,1,2,2,3,4,16,3
pix_57,sim_8,1,2,5,4,6,17,3
pix_58,sim_8,7,2,5,4,6,18,3
pix_59,sim_8,1,2,5,4,6,19,3
pix_60,sim_8,1,2,5,4,6,20,3
pix_61,sim_8,1,1,4,1,2,1,4
pix_62,sim_8,1,1,4,1,2,2,4
pix_63,sim_8,1,1,4,1,2,3,4
