cell_id,sample_id,true_cluster,utag_cluster_02,utag_cluster_03,utag_cluster_04,utag_cluster_05,x_coord,y_coord
pix_1,sim_32,10,2,0,3,4,1,1
pix_2,sim_32,13,2,0,3,4,2,1
pix_3,sim_32,10,2,0,3,4,3,1
pix_4,sim_32,3,2,0,3,4,4,1
pix_5,sim_32,5,2,0,4,7,5,1
pix_6,sim_32,5,2,0,4,7,6,1
pix_7,sim_32,5,2,0,4,7,7,1
pix_8,sim_32,3,2,0,4,7,8,1
pix_9,sim_32,9,2,0,4,7,9,1
pix_10,sim_32,5,1,2,1,2,10,1
pix_11,sim_32,9,1,2,1,2,11,1
pix_12,sim_32,5,1,2,1,2,12,1
pix_13,sim_32,5,1,2,1,2,13,1
pix_14,sim_32,9,1,2,1,2,14,1
pix_15,sim_32,2,1,2,1,2,15,1
pix_16,sim_32,5,1,2,1,2,16,1
pix_17,sim_32,2,1,2,1,2,17,1
pix_18,sim_32,2,1,2,1,2,18,1
pix_19,sim_32,2,1,2,1,2,19,1
pix_20,sim_32,2,1,2,1,2,20,1
pix_21,sim_32,10,2,0,3,4,1,2
pix_22,sim_32,3,2,0,3,4,2,2
pix_23,sim_32,10,2,0,3,4,3,2
pix_24,sim_32,3,2,0,3,4,4,2
pix_25,sim_32,3,2,0,4,7,5,2
pix_26,sim_32,5,2,0,4,7,6,2
pix_27,sim_32,3,2,0,4,7,7,2
pix_28,sim_32,3,2,0,4,7,8,2
pix_29,sim_32,9,2,0,4,7,9,2
pix_30,sim_32,7,1,2,1,2,10,2
pix_31,sim_32,5,1,2,1,2,11,2
pix_32,sim_32,9,1,2,1,2,12,2
pix_33,sim_32,11,1,2,1,2,13,2
pix_34,sim_32,9,1,2,1,2,14,2
pix_35,sim_32,7,1,2,1,2,15,2
pix_36,sim_32,9,1,2,1,2,16,2
pix_37,sim_32,2,1,2,1,2,17,2
pix_38,sim_32,5,1,2,1,2,18,2
pix_39,sim_32,2,1,2,1,2,19,2
pix_40,sim_32,2,1,2,1,2,20,2
pix_41,sim_32,10,2,0,3,4,1,3
pix_42,sim_32,10,2,0,3,4,2,3
pix_43,sim_32,3,2,0,3,4,3,3
pix_44,sim_32,3,2,0,4,7,4,3
pix_45,sim_32,3,2,0,4,7,5,3
pix_46,sim_32,3,2,0,4,7,6,3
pix_47,sim_32,3,2,0,4,7,7,3
pix_48,sim_32,10,2,0,4,7,8,3
pix_49,sim_32,9,2,0,4,7,9,3
pix_50,sim_32,5,1,2,1,2,10,3
pix_51,sim_32,7,1,2,1,2,11,3
pix_52,sim_32,9,1,2,1,2,12,3
pix_53,sim_32,11,1,2,1,2,13,3
pix_54,sim_32,7,1,2,1,2,14,3
pix_55,sim_32,11,1,2,1,2,15,3
pix_56,sim_32,9,1,2,1,2,16,3
pix_57,sim_32,7,1,2,1,2,17,3
pix_58,sim_32,7,1,2,1,2,18,3
pix_59,sim_32,2,1,2,1,2,19,3
pix_60,sim_32,2,1,2,1,2,20,3
pix_61,sim_32,10,2,0,3,4,1,4
