cell_id,sample_id,true_cluster,utag_cluster_02,utag_cluster_03,utag_cluster_04,utag_cluster_05,x_coord,y_coord
pix_1,sim_30,1,2,4,5,6,1,1
pix_2,sim_30,3,2,4,5,6,2,1
pix_3,sim_30,2,2,4,5,6,3,1
pix_4,sim_30,2,2,4,5,6,4,1
pix_5,sim_30,3,2,4,5,6,5,1
pix_6,sim_30,2,2,4,5,6,6,1
pix_7,sim_30,3,2,4,5,6,7,1
pix_8,sim_30,3,2,4,5,6,8,1
pix_9,sim_30,3,1,1,0,5,9,1
pix_10,sim_30,1,1,1,0,5,10,1
pix_11,sim_30,1,1,1,0,5,11,1
pix_12,sim_30,1,1,1,0,5,12,1
pix_13,sim_30,3,1,1,0,5,13,1
pix_14,sim_30,1,1,1,0,5,14,1
pix_15,sim_30,1,1,1,0,5,15,1
pix_16,sim_30,1,1,1,0,5,16,1
pix_17,sim_30,1,1,1,0,5,17,1
pix_18,sim_30,1,1,1,0,5,18,1
pix_19,sim_30,1,1,1,0,5,19,1
pix_20,sim_30,1,1,1,0,5,20,1
pix_21,sim_30,3,2,4,5,6,1,2
pix_22,sim_30,3,2,4,5,6,2,2
pix_23,sim_30,3,2,4,5,6,3,2
pix_24,sim_30,3,2,4,5,6,4,2
pix_25,sim_30,8,2,4,5,6,5,2
pix_26,sim_30,3,2,4,5,6,6,2
pix_27,sim_30,3,2,4,5,6,7,2
pix_28,sim_30,3,2,4,5,6,8,2
pix_29,sim_30,1,1,1,0,5,9,2
pix_30,sim_30,1,1,1,0,5,10,2
pix_31,sim_30,8,1,1,0,5,11,2
pix_32,sim_30,6,1,1,0,5,12,2
pix_33,sim_30,1,1,1,0,5,13,2
pix_34,sim_30,1,1,1,0,5,14,2
pix_35,sim_30,8,1,1,0,5,15,2
pix_36,sim_30,1,1,1,0,5,16,2
pix_37,sim_30,1,1,1,0,5,17,2
pix_38,sim_30,1,1,1,0,5,18,2
pix_39,sim_30,1,1,1,0,5,19,2
pix_40,sim_30,1,1,1,0,5,20,2
pix_41,sim_30,3,2,4,5,6,1,3
pix_42,sim_30,3,2,4,5,6,2,3
pix_43,sim_30,3,2,4,5,6,3,3
pix_44,sim_30,3,2,4,5,6,4,3
pix_45,sim_30,3,2,4,5,6,5,3
pix_46,sim_30,2,2,4,5,6,6,3
pix_47,sim_30,2,2,4,5,6,7,3
pix_48,sim_30,1,2,4,5,6,8,3
pix_49,sim_30,1,1,1,0,5,9,3
pix_50,sim_30,1,1,1,0,5,10,3
pix_51,sim_30,1,1,1,0,5,11,3
pix_52,sim_30,1,1,1,0,5,12,3
pix_53,sim_30,1,1,1,0,5,13,3
pix_54,sim_30,1,1,1,0,5,14,3
pix_55,sim_30,8,1,1,0,5,15,3
pix_56,sim_30,1,1,1,0,5,16,3
pix_57,sim_30,1,1,1,0,5,17,3
pix_58,sim_30,1,1,1,0,5,18,3
pix_59,sim_30,1,1,1,0,5,19,3
pix_60,sim_30,1,1,1,0,5,20,3
pix_61,sim_30,2,2,4,5,6,1,4
pix_62,sim_30,2,2,4,5,6,2,4
pix_63,sim_30,3,2,4,5,6,3,4
pix_64,sim_30,3,2,1,5,4,4,4
pix_65,sim_30,3,2,1,5,4,5,4
pix_66,sim_30,2,2,1,5,4,6,4
pix_67,sim_30,3,2,1,5,4,7,4
pix_68,sim_30,3,2,1,5,4,8,4
pix_69,sim_30,3,1,1,0,4,9,4
pix_70,sim_30,8,1,1,0,4,10,4
pix_71,sim_30,1,1,1,0,4,11,4
pix_72,sim_30,1,1,1,0,5,12,4
pix_73,sim_30,1,1,1,0,5,13,4
pix_74,sim_30,1,1,1,0,5,14,4
pix_75,sim_30,8,1,1,0,5,15,4
pix_76,sim_30,7,1,1,0,5,16,4
pix_77,sim_30,1,1,1,0,5,17,4
pix_78,sim_30,1,1,3,3,3,18,4
pix_79,sim_30,1,1,3,3,3,19,4
