cell_id,sample_id,true_cluster,utag_cluster_02,utag_cluster_03,utag_cluster_04,utag_cluster_05,x_coord,y_coord
pix_1,sim_19,1,3,4,4,5,1,1
pix_2,sim_19,1,3,4,4,5,2,1
pix_3,sim_19,1,3,4,4,5,3,1
pix_4,sim_19,1,3,4,4,5,4,1
pix_5,sim_19,1,3,4,4,5,5,1
pix_6,sim_19,1,3,4,4,5,6,1
pix_7,sim_19,1,1,2,3,3,7,1
pix_8,sim_19,1,1,2,3,3,8,1
pix_9,sim_19,3,1,2,3,3,9,1
pix_10,sim_19,3,1,2,3,3,10,1
pix_11,sim_19,3,1,2,3,3,11,1
pix_12,sim_19,12,1,2,3,3,12,1
pix_13,sim_19,3,1,2,3,3,13,1
pix_14,sim_19,3,1,2,3,3,14,1
pix_15,sim_19,3,1,2,3,3,15,1
pix_16,sim_19,3,1,2,3,3,16,1
pix_17,sim_19,3,1,2,3,3,17,1
pix_18,sim_19,6,1,2,3,3,18,1
pix_19,sim_19,3,1,2,3,3,19,1
pix_20,sim_19,3,1,2,3,3,20,1
pix_21,sim_19,1,3,4,4,5,1,2
pix_22,sim_19,1,3,4,4,5,2,2
pix_23,sim_19,1,3,4,4,5,3,2
pix_24,sim_19,1,3,4,4,5,4,2
pix_25,sim_19,1,3,4,4,5,5,2
pix_26,sim_19,1,3,4,4,5,6,2
pix_27,sim_19,1,1,2,3,3,7,2
pix_28,sim_19,1,1,2,3,3,8,2
pix_29,sim_19,1,1,2,3,3,9,2
pix_30,sim_19,1,1,2,3,3,10,2
pix_31,sim_19,3,1,2,3,3,11,2
pix_32,sim_19,3,1,2,3,3,12,2
pix_33,sim_19,3,1,2,3,3,13,2
pix_34,sim_19,3,1,2,3,3,14,2
pix_35,sim_19,3,1,2,3,3,15,2
pix_36,sim_19,3,1,2,3,3,16,2
pix_37,sim_19,3,1,2,3,3,17,2
pix_38,sim_19,3,1,2,3,3,18,2
pix_39,sim_19,3,1,2,3,3,19,2
pix_40,sim_19,3,1,2,3,3,20,2
pix_41,sim_19,1,3,4,4,5,1,3
pix_42,sim_19,1,3,4,4,5,2,3
pix_43,sim_19,1,3,4,4,5,3,3
pix_44,sim_19,1,3,4,4,5,4,3
pix_45,sim_19,1,3,4,4,5,5,3
pix_46,sim_19,1,3,4,4,5,6,3
pix_47,sim_19,1,1,2,3,3,7,3
pix_48,sim_19,1,1,2,3,3,8,3
pix_49,sim_19,1,1,2,3,3,9,3
pix_50,sim_19,1,1,2,3,3,10,3
pix_51,sim_19,1,1,2,3,3,11,3
pix_52,sim_19,3,1,2,3,3,12,3
pix_53,sim_19,3,1,2,3,3,13,3
pix_54,sim_19,3,1,2,3,3,14,3
pix_55,sim_19,3,1,2,3,3,15,3
pix_56,sim_19,3,1,2,3,3,16,3
pix_57,sim_19,3,1,2,3,3,17,3
pix_58,sim_19,3,1,2,3,3,18,3
pix_59,sim_19,3,1,2,3,3,19,3
pix_60,sim_19,3,1,2,3,3,20,3
pix_61,sim_19,1,3,4,4,5,1,4
pix_62,sim_19,1,3,4,4,5,2,4
pix_63,sim_19,1,3,4,4,5,3,4
pix_64,sim_19,1,3,4,4,5,4,4
pix_65,sim_19,1,3,4,4,5,5,4
pix_66,sim_19,1,3,4,4,5,6,4
pix_67,sim_19,1,1,2,3,3,7,4
pix_68,sim_19,1,1,2,3,3,8,4
pix_69,sim_19,1,1,2,3,3,9,4
pix_70,sim_19,1,1,2,3,3,10,4
pix_71,sim_19,3,1,2,3,3,11,4
pix_72,sim_19,3,1,2,3,3,12,4
pix_73,sim_19,3,1,2,3,3,13,4
pix_74,sim_19,3,1,2,3,3,14,4
pix_75,sim_19,3,1,2,3,3,15,4
pix_76,sim_19,3,1,2,3,3,16,4
pix_77,sim_19,3,1,2,3,3,17,4
pix_78,sim_19,3,1,2,5,6,18,4
pix_79,sim_19,3,1,2,5,6,19,4
pix_80,sim_19,3,1,2,5,6,20,4
pix_81,sim_19,1,3,4,4,5,1,5
pix_82,sim_19,1,3,4,4,5,2,5
pix_83,sim_19,1,3,4,4,5,3,5
pix_84,sim_19,1,3,4,4,5,4,5
pix_85,sim_19,1,3,4,4,5,5,5
pix_86,sim_19,1,3,0,0,5,6,5
pix_87,sim_19,1,0,0,0,0,7,5
pix_88,sim_19,1,0,0,0,0,8,5
pix_89,sim_19,1,0,0,0,0,9,5
pix_90,sim_19,1,0,0,0,0,10,5
pix_91,sim_19,3,1,2,3,3,11,5
pix_92,sim_19,3,1,2,3,3,12,5
pix_93,sim_19,3,1,2,3,3,13,5
pix_94,sim_19,3,1,2,3,3,14,5
pix_95,sim_19,3,1,2,3,3,15,5
pix_96,sim_19,3,1,2,3,3,16,5
pix_97,sim_19,3,1,2,5,6,17,5
pix_98,sim_19,3,1,2,5,6,18,5
pix_99,sim_19,3,1,2,5,6,19,5
pix_100,sim_19,3,1,2,5,6,20,5
pix_101,sim_19,1,3,4,4,5,1,6
pix_102,sim_19,1,3,4,4,5,2,6
pix_103,sim_19,1,3,4,4,5,3,6
pix_104,sim_19,1,3,4,4,5,4,6
pix_105,sim_19,1,3,0,0,0,5,6
pix_106,sim_19,1,3,0,0,0,6,6
pix_107,sim_19,1,0,0,0,0,7,6
pix_108,sim_19,11,0,0,0,0,8,6
pix_109,sim_19,1,0,0,0,0,9,6
pix_110,sim_19,1,0,0,0,0,10,6
pix_111,sim_19,1,0,0,0,0,11,6
pix_112,sim_19,3,1,2,3,3,12,6
pix_113,sim_19,10,1,2,3,3,13,6
pix_114,sim_19,3,1,2,3,3,14,6
pix_115,sim_19,3,1,2,3,3,15,6
pix_116,sim_19,3,1,2,5,6,16,6
pix_117,sim_19,3,1,2,5,6,17,6
pix_118,sim_19,3,1,2,5,6,18,6
pix_119,sim_19,3,1,2,5,6,19,6
pix_120,sim_19,3,1,2,5,6,20,6
pix_121,sim_19,1,3,4,4,5,1,7
pix_122,sim_19,1,3,0,0,4,2,7
pix_123,sim_19,8,3,0,0,4,3,7
pix_124,sim_19,8,3,0,0,4,4,7
pix_125,sim_19,1,3,0,0,0,5,7
pix_126,sim_19,1,3,0,0,0,6,7
pix_127,sim_19,1,0,0,0,0,7,7
pix_128,sim_19,1,0,0,0,0,8,7
pix_129,sim_19,1,0,0,0,0,9,7
pix_130,sim_19,1,0,0,0,0,10,7
pix_131,sim_19,1,0,0,0,0,11,7
pix_132,sim_19,1,0,0,0,0,12,7
pix_133,sim_19,3,1,2,5,6,13,7
pix_134,sim_19,3,1,2,5,6,14,7
pix_135,sim_19,3,1,2,5,6,15,7
pix_136,sim_19,3,1,2,5,6,16,7
pix_137,sim_19,3,1,2,5,6,17,7
pix_138,sim_19,3,1,2,5,6,18,7
pix_139,sim_19,3,1,2,5,6,19,7
pix_140,sim_19,3,1,2,5,6,20,7
pix_141,sim_19,1,3,0,0,4,1,8
pix_142,sim_19,1,3,0,0,4,2,8
pix_143,sim_19,1,3,0,0,4,3,8
pix_144,sim_19,8,3,0,0,4,4,8
pix_145,sim_19,1,3,0,0,0,5,8
pix_146,sim_19,1,3,0,0,0,6,8
pix_147,sim_19,1,0,0,0,0,7,8
pix_148,sim_19,1,0,0,0,0,8,8
pix_149,sim_19,1,0,0,0,0,9,8
pix_150,sim_19,7,0,0,0,0,10,8
pix_151,sim_19,1,0,0,0,0,11,8
pix_152,sim_19,1,0,0,0,0,12,8
pix_153,sim_19,1,0,1,1,0,13,8
pix_154,sim_19,1,1,2,5,6,14,8
pix_155,sim_19,3,1,2,5,6,15,8
pix_156,sim_19,3,1,2,5,6,16,8
pix_157,sim_19,3,1,2,5,6,17,8
pix_158,sim_19,3,1,2,5,6,18,8
pix_159,sim_19,3,1,2,5,6,19,8
pix_160,sim_19,3,1,2,5,6,20,8
pix_161,sim_19,1,3,0,0,4,1,9
pix_162,sim_19,1,3,0,0,4,2,9
pix_163,sim_19,1,3,0,0,4,3,9
pix_164,sim_19,1,3,0,0,4,4,9
pix_165,sim_19,1,3,0,0,0,5,9
pix_166,sim_19,1,3,0,0,0,6,9
pix_167,sim_19,1,0,0,0,0,7,9
pix_168,sim_19,1,0,0,0,0,8,9
pix_169,sim_19,1,0,0,0,0,9,9
pix_170,sim_19,1,0,0,0,0,10,9
pix_171,sim_19,1,0,0,0,0,11,9
pix_172,sim_19,1,0,0,0,0,12,9
pix_173,sim_19,1,0,1,1,0,13,9
pix_174,sim_19,1,0,1,1,0,14,9
pix_175,sim_19,3,1,2,5,6,15,9
pix_176,sim_19,3,1,2,5,6,16,9
pix_177,sim_19,3,1,2,5,6,17,9
pix_178,sim_19,5,1,2,5,6,18,9
pix_179,sim_19,5,1,2,5,6,19,9
pix_180,sim_19,5,0,1,1,2,20,9
pix_181,sim_19,1,3,0,0,4,1,10
pix_182,sim_19,1,3,0,0,4,2,10
pix_183,sim_19,1,3,0,0,4,3,10
pix_184,sim_19,1,0,0,0,4,4,10
pix_185,sim_19,1,0,0,0,4,5,10
pix_186,sim_19,1,0,0,0,0,6,10
pix_187,sim_19,1,0,0,0,0,7,10
pix_188,sim_19,1,0,0,0,0,8,10
pix_189,sim_19,1,0,0,0,0,9,10
pix_190,sim_19,1,0,0,0,0,10,10
pix_191,sim_19,1,0,0,0,0,11,10
pix_192,sim_19,1,0,1,1,0,12,10
pix_193,sim_19,1,0,1,1,0,13,10
pix_194,sim_19,1,0,1,1,0,14,10
pix_195,sim_19,3,0,1,1,2,15,10
pix_196,sim_19,5,0,1,1,2,16,10
pix_197,sim_19,5,0,1,1,2,17,10
pix_198,sim_19,3,0,1,1,2,18,10
pix_199,sim_19,5,0,1,1,2,19,10
pix_200,sim_19,5,0,1,1,2,20,10
pix_201,sim_19,1,3,0,0,4,1,11
pix_202,sim_19,1,3,0,0,4,2,11
pix_203,sim_19,1,3,0,0,4,3,11
pix_204,sim_19,1,0,0,0,4,4,11
pix_205,sim_19,1,0,0,0,4,5,11
pix_206,sim_19,1,0,0,0,4,6,11
pix_207,sim_19,1,0,0,0,0,7,11
pix_208,sim_19,1,0,0,0,0,8,11
pix_209,sim_19,1,0,0,0,0,9,11
pix_210,sim_19,1,0,0,0,0,10,11
pix_211,sim_19,1,0,0,0,0,11,11
pix_212,sim_19,1,0,1,1,0,12,11
pix_213,sim_19,1,0,1,1,0,13,11
pix_214,sim_19,1,0,1,1,0,14,11
pix_215,sim_19,5,0,1,1,2,15,11
pix_216,sim_19,5,0,1,1,2,16,11
pix_217,sim_19,5,0,1,1,2,17,11
pix_218,sim_19,5,0,1,1,2,18,11
pix_219,sim_19,5,0,1,1,2,19,11
