cell_id,sample_id,true_cluster,utag_cluster_02,utag_cluster_03,utag_cluster_04,utag_cluster_05,x_coord,y_coord
pix_1,sim_28,1,1,1,1,1,1,1
pix_2,sim_28,1,1,1,1,1,2,1
pix_3,sim_28,1,1,1,1,1,3,1
pix_4,sim_28,3,1,1,1,1,4,1
pix_5,sim_28,5,1,1,1,1,5,1
pix_6,sim_28,1,1,1,1,6,6,1
pix_7,sim_28,4,1,1,1,6,7,1
pix_8,sim_28,1,1,1,1,6,8,1
pix_9,sim_28,1,1,1,1,6,9,1
pix_10,sim_28,1,1,1,1,6,10,1
pix_11,sim_28,1,0,3,3,0,11,1
pix_12,sim_28,3,0,3,3,0,12,1
pix_13,sim_28,3,0,3,3,0,13,1
pix_14,sim_28,3,0,3,3,0,14,1
pix_15,sim_28,3,0,3,3,0,15,1
pix_16,sim_28,3,0,3,3,0,16,1
pix_17,sim_28,2,0,3,3,0,17,1
pix_18,sim_28,3,0,3,3,0,18,1
pix_19,sim_28,3,0,3,3,0,19,1
pix_20,sim_28,3,0,3,3,0,20,1
pix_21,sim_28,1,1,1,1,1,1,2
pix_22,sim_28,1,1,1,1,1,2,2
pix_23,sim_28,1,1,1,1,1,3,2
pix_24,sim_28,5,1,1,1,1,4,2
pix_25,sim_28,1,1,1,1,1,5,2
pix_26,sim_28,1,1,1,1,6,6,2
pix_27,sim_28,4,1,1,1,6,7,2
pix_28,sim_28,1,1,1,1,6,8,2
pix_29,sim_28,1,1,1,1,6,9,2
pix_30,sim_28,1,1,1,1,6,10,2
pix_31,sim_28,1,0,3,3,0,11,2
pix_32,sim_28,3,0,3,3,0,12,2
pix_33,sim_28,2,0,3,3,0,13,2
pix_34,sim_28,1,0,3,3,0,14,2
pix_35,sim_28,2,0,3,3,0,15,2
pix_36,sim_28,3,0,3,3,0,16,2
pix_37,sim_28,3,0,3,3,0,17,2
pix_38,sim_28,1,0,3,3,0,18,2
pix_39,sim_28,3,0,3,3,0,19,2
pix_40,sim_28,3,0,3,3,0,20,2
pix_41,sim_28,1,1,1,1,1,1,3
pix_42,sim_28,5,1,1,1,1,2,3
pix_43,sim_28,1,1,1,1,1,3,3
pix_44,sim_28,1,1,1,1,1,4,3
pix_45,sim_28,5,1,1,1,1,5,3
pix_46,sim_28,1,1,1,1,6,6,3
pix_47,sim_28,1,1,1,1,6,7,3
pix_48,sim_28,1,1,1,1,6,8,3
pix_49,sim_28,1,1,1,1,6,9,3
pix_50,sim_28,1,1,1,1,6,10,3
pix_51,sim_28,1,0,3,3,0,11,3
pix_52,sim_28,13,0,3,3,0,12,3
pix_53,sim_28,2,0,3,3,0,13,3
pix_54,sim_28,3,0,3,3,0,14,3
pix_55,sim_28,9,0,3,3,0,15,3
pix_56,sim_28,3,0,3,3,0,16,3
pix_57,sim_28,3,0,3,3,0,17,3
pix_58,sim_28,2,0,3,3,0,18,3
pix_59,sim_28,3,0,3,3,0,19,3
pix_60,sim_28,1,0,3,3,0,20,3
pix_61,sim_28,1,1,1,1,1,1,4
pix_62,sim_28,1,1,1,1,1,2,4
pix_63,sim_28,1,1,1,1,1,3,4
pix_64,sim_28,5,1,1,1,1,4,4
pix_65,sim_28,1,1,1,1,1,5,4
